"ShipmentID";"SPID";"PID";"GID";"Shipdate";"Amount";"Boxes";"Order_Status"
"S00000004";"SP01";"P14";"G2";"2023-05-05";7108;285;"Delivered"
"S00000009";"SP01";"P14";"G4";"2023-08-22";8665;377;"Cancelled"
"S00000013";"SP01";"P14";"G6";"2023-10-23";2347;103;"Delivered"
"S00000032";"SP01";"P14";"G2";"2023-06-06";4235;152;"Delivered"
"S00000033";"SP01";"P14";"G2";"2024-12-03";9252;421;"Delivered"
"S00000037";"SP01";"P14";"G4";"2023-07-17";905;33;"Delivered"
"S00000043";"SP01";"P14";"G1";"2024-10-02";356;14;"Delivered"
"S00000047";"SP01";"P14";"G2";"2023-07-24";513;23;"Delivered"
"S00000048";"SP01";"P14";"G3";"2023-07-26";5382;216;"Delivered"
"S00000059";"SP01";"P01";"G1";"2025-03-21";569;26;"Placed"
"S00000062";"SP01";"P01";"G3";"2024-08-14";1292;65;"Delivered"
"S00000063";"SP01";"P01";"G4";"2024-10-10";11313;539;"Delivered"
"S00000080";"SP01";"P01";"G5";"2025-02-10";6059;289;"Shipped"
"S00000085";"SP01";"P01";"G1";"2024-07-10";3164;159;"Delivered"
"S00000093";"SP01";"P01";"G4";"2024-04-09";9659;460;"Delivered"
"S00000094";"SP01";"P01";"G5";"2023-04-06";4741;198;"Delivered"
"S00000095";"SP01";"P01";"G5";"2023-12-21";8433;338;"Delivered"
"S00000100";"SP01";"P01";"G1";"2023-05-29";9297;358;"Delivered"
"S00000109";"SP01";"P01";"G5";"2023-10-23";3695;143;"Delivered"
"S00000117";"SP01";"P06";"G2";"2024-03-04";4732;474;"Delivered"
"S00000121";"SP01";"P06";"G4";"2023-09-06";13300;1109;"Delivered"
"S00000128";"SP01";"P06";"G1";"2024-02-19";932;85;"Delivered"
"S00000145";"SP01";"P06";"G2";"2024-12-06";1917;175;"Delivered"
"S00000149";"SP01";"P06";"G4";"2023-11-15";16468;2059;"Delivered"
"S00000150";"SP01";"P06";"G5";"2025-01-28";1377;115;"Shipped"
"S00000151";"SP01";"P06";"G5";"2023-02-22";1850;265;"Delivered"
"S00000152";"SP01";"P06";"G5";"2025-01-17";1593;200;"Shipped"
"S00000156";"SP01";"P06";"G1";"2023-02-20";2311;178;"Delivered"
"S00000161";"SP01";"P06";"G4";"2023-01-18";7981;726;"Delivered"
"S00000162";"SP01";"P06";"G4";"2023-12-01";7801;710;"Delivered"
"S00000175";"SP01";"P19";"G4";"2023-07-14";34;2;"Delivered"
"S00000179";"SP01";"P19";"G5";"2024-06-14";3067;162;"Delivered"
"S00000188";"SP01";"P19";"G3";"2023-07-25";5918;296;"Delivered"
"S00000189";"SP01";"P19";"G4";"2024-10-01";1827;84;"Delivered"
"S00000190";"SP01";"P19";"G4";"2023-02-16";6570;299;"Delivered"
"S00000209";"SP01";"P19";"G6";"2024-10-23";3161;132;"Cancelled"
"S00000211";"SP01";"P19";"G1";"2023-12-01";9459;473;"Delivered"
"S00000217";"SP01";"P19";"G4";"2024-06-11";16839;733;"Delivered"
"S00000226";"SP01";"P19";"G1";"2023-05-08";6050;276;"Delivered"
"S00000227";"SP01";"P19";"G1";"2023-12-05";1600;64;"Delivered"
"S00000231";"SP01";"P19";"G4";"2024-07-26";3215;170;"Delivered"
"S00000238";"SP01";"P15";"G1";"2023-10-31";3755;269;"Delivered"
"S00000239";"SP01";"P15";"G1";"2023-06-29";4883;376;"Delivered"
"S00000247";"SP01";"P15";"G4";"2025-03-24";4579;382;"Placed"
"S00000252";"SP01";"P15";"G1";"2024-05-14";371;38;"Delivered"
"S00000256";"SP01";"P15";"G2";"2025-02-10";3922;246;"Shipped"
"S00000266";"SP01";"P15";"G1";"2024-02-01";2282;176;"Delivered"
"S00000267";"SP01";"P15";"G1";"2023-09-11";4192;350;"Delivered"
"S00000272";"SP01";"P15";"G3";"2023-03-10";9230;616;"Delivered"
"S00000278";"SP01";"P15";"G5";"2025-01-14";5004;417;"Shipped"
"S00000279";"SP01";"P15";"G6";"2025-03-24";8525;711;"Placed"
"S00000285";"SP01";"P15";"G2";"2023-11-29";2921;293;"Delivered"
"S00000288";"SP01";"P15";"G4";"2023-06-19";2086;131;"Delivered"
"S00000290";"SP01";"P15";"G5";"2024-01-22";8597;538;"Delivered"
"S00000292";"SP01";"P15";"G5";"2024-12-11";387;33;"Delivered"
"S00000304";"SP01";"P15";"G5";"2024-11-01";3301;367;"Delivered"
"S00000305";"SP01";"P15";"G5";"2025-01-28";2837;203;"Shipped"
"S00000311";"SP01";"P11";"G1";"2023-12-28";5713;440;"Delivered"
"S00000320";"SP01";"P11";"G5";"2024-12-13";4768;530;"Delivered"
"S00000329";"SP01";"P11";"G4";"2023-02-27";1913;213;"Delivered"
"S00000332";"SP01";"P11";"G5";"2023-01-09";6768;564;"Delivered"
"S00000336";"SP01";"P11";"G1";"2024-03-14";416;60;"Delivered"
"S00000337";"SP01";"P11";"G1";"2024-10-08";5256;405;"Delivered"
"S00000340";"SP01";"P11";"G2";"2024-01-25";3686;410;"Delivered"
"S00000349";"SP01";"P11";"G6";"2023-10-16";1555;130;"Delivered"
"S00000354";"SP01";"P11";"G2";"2025-03-10";1512;216;"Placed"
"S00000359";"SP01";"P11";"G4";"2024-10-18";1260;105;"Delivered"
"S00000362";"SP01";"P11";"G5";"2024-03-18";1859;207;"Delivered"
"S00000377";"SP01";"P10";"G6";"2024-04-10";2756;154;"Delivered"
"S00000383";"SP01";"P10";"G2";"2023-05-24";5936;330;"Delivered"
"S00000390";"SP01";"P10";"G5";"2023-02-21";4208;301;"Delivered"
"S00000400";"SP01";"P10";"G4";"2024-06-17";2709;151;"Delivered"
"S00000401";"SP01";"P10";"G4";"2024-09-19";5792;446;"Delivered"
"S00000402";"SP01";"P10";"G5";"2023-12-26";8721;513;"Delivered"
"S00000403";"SP01";"P10";"G5";"2025-02-20";6894;575;"Shipped"
"S00000407";"SP01";"P04";"G1";"2024-06-27";5659;247;"Cancelled"
"S00000417";"SP01";"P04";"G5";"2025-02-24";2900;101;"Shipped"
"S00000422";"SP01";"P04";"G1";"2023-10-17";3755;157;"Delivered"
"S00000429";"SP01";"P04";"G4";"2023-09-05";13046;484;"Delivered"
"S00000435";"SP01";"P04";"G1";"2023-01-06";7261;269;"Delivered"
"S00000437";"SP01";"P04";"G1";"2024-10-29";15813;659;"Delivered"
"S00000438";"SP01";"P04";"G2";"2023-10-23";4113;165;"Delivered"
"S00000439";"SP01";"P04";"G2";"2023-02-22";11390;439;"Delivered"
"S00000444";"SP01";"P04";"G5";"2023-12-27";6174;238;"Delivered"
"S00000448";"SP01";"P04";"G1";"2024-12-25";7130;265;"Delivered"
"S00000467";"SP01";"P16";"G2";"2024-12-18";9560;456;"Delivered"
"S00000485";"SP01";"P16";"G4";"2024-10-30";10226;394;"Delivered"
"S00000488";"SP01";"P16";"G5";"2023-02-28";17037;656;"Delivered"
"S00000504";"SP01";"P16";"G1";"2023-10-24";3933;197;"Delivered"
"S00000505";"SP01";"P16";"G1";"2024-12-16";10609;409;"Delivered"
"S00000506";"SP01";"P16";"G1";"2023-12-14";3843;175;"Delivered"
"S00000511";"SP01";"P16";"G4";"2023-10-16";5443;210;"Delivered"
"S00000519";"SP01";"P16";"G1";"2024-07-04";5348;268;"Delivered"
"S00000528";"SP01";"P16";"G5";"2023-09-18";4865;212;"Delivered"
"S00000539";"SP01";"P16";"G4";"2023-08-25";2516;94;"Delivered"
"S00000590";"SP01";"P21";"G1";"2024-02-13";497;32;"Delivered"
"S00000591";"SP01";"P21";"G1";"2024-12-10";4831;211;"Delivered"
"S00000601";"SP01";"P21";"G6";"2023-09-29";1429;76;"Delivered"
"S00000603";"SP01";"P21";"G1";"2023-04-05";9200;576;"Delivered"
"S00000604";"SP01";"P21";"G1";"2025-01-14";8982;450;"Cancelled"
"S00000605";"SP01";"P21";"G1";"2025-03-07";10375;495;"Placed"
"S00000609";"SP01";"P21";"G4";"2023-11-08";3656;159;"Delivered"
"S00000612";"SP01";"P21";"G5";"2025-03-25";5987;375;"Placed"
"S00000614";"SP01";"P21";"G5";"2023-05-22";4984;250;"Delivered"
"S00000617";"SP01";"P21";"G1";"2024-07-30";3141;150;"Cancelled"
"S00000620";"SP01";"P21";"G2";"2024-11-18";8300;378;"Delivered"
"S00000625";"SP01";"P21";"G4";"2024-10-18";482;29;"Delivered"
"S00000639";"SP01";"P05";"G4";"2023-03-27";3479;134;"Delivered"
"S00000663";"SP01";"P05";"G2";"2024-01-04";11234;469;"Delivered"
"S00000672";"SP01";"P05";"G1";"2024-12-06";3983;182;"Delivered"
"S00000679";"SP01";"P05";"G4";"2023-02-16";5506;221;"Delivered"
"S00000681";"SP01";"P05";"G4";"2024-11-13";5051;211;"Delivered"
"S00000694";"SP01";"P12";"G4";"2024-04-03";3735;156;"Delivered"
"S00000710";"SP01";"P12";"G5";"2024-09-12";3798;211;"Cancelled"
"S00000711";"SP01";"P12";"G5";"2025-02-20";7209;401;"Shipped"
"S00000715";"SP01";"P12";"G1";"2023-12-05";7157;377;"Cancelled"
"S00000716";"SP01";"P12";"G1";"2024-05-02";8244;393;"Delivered"
"S00000720";"SP01";"P12";"G3";"2023-10-18";2790;122;"Delivered"
"S00000730";"SP01";"P03";"G1";"2024-07-24";8879;387;"Delivered"
"S00000732";"SP01";"P03";"G2";"2024-09-04";459;20;"Delivered"
"S00000737";"SP01";"P03";"G4";"2023-01-20";6309;275;"Delivered"
"S00000742";"SP01";"P03";"G1";"2025-03-05";6379;319;"Placed"
"S00000744";"SP01";"P03";"G1";"2024-09-26";5798;306;"Delivered"
"S00000746";"SP01";"P03";"G2";"2024-11-21";2462;137;"Delivered"
"S00000755";"SP01";"P03";"G6";"2024-07-02";3173;167;"Delivered"
"S00000760";"SP01";"P03";"G2";"2024-09-27";2302;105;"Cancelled"
"S00000766";"SP01";"P03";"G5";"2024-07-03";6656;303;"Delivered"
"S00000770";"SP01";"P03";"G1";"2024-08-06";5168;216;"Delivered"
"S00000773";"SP01";"P03";"G1";"2024-10-08";4466;187;"Delivered"
"S00000780";"SP01";"P03";"G5";"2023-09-22";533;30;"Delivered"
"S00000783";"SP01";"P03";"G6";"2024-11-20";774;46;"Delivered"
"S00000796";"SP01";"P03";"G5";"2023-07-28";3852;214;"Delivered"
"S00000805";"SP01";"P03";"G4";"2024-03-22";13066;688;"Delivered"
"S00000808";"SP01";"P03";"G5";"2023-08-23";3224;190;"Delivered"
"S00000810";"SP01";"P03";"G5";"2024-04-01";2043;103;"Delivered"
"S00000815";"SP01";"P22";"G1";"2023-10-16";3521;131;"Delivered"
"S00000820";"SP01";"P22";"G4";"2024-11-12";261;11;"Delivered"
"S00000823";"SP01";"P22";"G5";"2024-01-10";2666;89;"Delivered"
"S00000826";"SP01";"P22";"G1";"2023-07-17";8219;329;"Delivered"
"S00000841";"SP01";"P22";"G1";"2023-05-05";205;9;"Delivered"
"S00000842";"SP01";"P22";"G1";"2024-05-28";4336;174;"Delivered"
"S00000850";"SP01";"P22";"G5";"2023-05-08";5900;236;"Delivered"
"S00000854";"SP01";"P22";"G1";"2024-10-25";9675;373;"Delivered"
"S00000876";"SP01";"P22";"G4";"2024-01-25";7972;307;"Delivered"
"S00000878";"SP01";"P22";"G5";"2024-03-26";5195;217;"Delivered"
"S00000882";"SP01";"P07";"G1";"2024-07-24";7412;391;"Delivered"
"S00000886";"SP01";"P07";"G2";"2023-10-11";6361;398;"Delivered"
"S00000888";"SP01";"P07";"G3";"2023-10-09";10049;629;"Cancelled"
"S00000903";"SP01";"P07";"G4";"2023-12-06";9558;638;"Delivered"
"S00000914";"SP01";"P07";"G2";"2023-04-28";8809;588;"Delivered"
"S00000920";"SP01";"P07";"G5";"2024-10-18";3791;316;"Delivered"
"S00000927";"SP01";"P17";"G1";"2023-02-13";8834;305;"Delivered"
"S00000939";"SP01";"P17";"G1";"2023-02-24";16110;597;"Delivered"
"S00000942";"SP01";"P17";"G2";"2024-02-12";12143;434;"Delivered"
"S00000948";"SP01";"P17";"G5";"2024-01-29";371;15;"Delivered"
"S00000952";"SP01";"P17";"G1";"2023-10-05";7846;281;"Delivered"
"S00000953";"SP01";"P17";"G1";"2024-10-16";6278;242;"Delivered"
"S00000957";"SP01";"P17";"G2";"2023-04-26";756;30;"Delivered"
"S00000967";"SP01";"P17";"G1";"2023-07-19";974;35;"Delivered"
"S00000972";"SP01";"P17";"G3";"2025-03-24";1028;40;"Placed"
"S00000975";"SP01";"P17";"G4";"2024-04-08";12211;489;"Delivered"
"S00000985";"SP01";"P17";"G2";"2023-08-25";11509;443;"Delivered"
"S00000987";"SP01";"P17";"G4";"2024-07-29";7441;311;"Delivered"
"S00000995";"SP01";"P08";"G1";"2025-01-30";10575;756;"Cancelled"
"S00001002";"SP01";"P08";"G4";"2024-09-10";7326;611;"Delivered"
"S00001018";"SP01";"P08";"G5";"2023-11-06";7272;455;"Delivered"
"S00001029";"SP01";"P08";"G4";"2024-12-19";17458;1746;"Delivered"
"S00001044";"SP01";"P08";"G4";"2025-03-13";968;61;"Cancelled"
"S00001052";"SP01";"P08";"G1";"2024-09-17";13613;1362;"Delivered"
"S00001055";"SP01";"P08";"G2";"2024-04-03";6588;507;"Cancelled"
"S00001087";"SP01";"P13";"G4";"2024-10-08";2966;270;"Delivered"
"S00001098";"SP01";"P13";"G3";"2023-10-17";2687;538;"Delivered"
"S00001103";"SP01";"P13";"G5";"2024-07-22";6455;807;"Delivered"
"S00001106";"SP01";"P13";"G1";"2024-12-03";2140;195;"Delivered"
"S00001130";"SP01";"P13";"G5";"2023-03-31";3848;350;"Delivered"
"S00001134";"SP01";"P02";"G1";"2023-12-20";9466;1184;"Delivered"
"S00001144";"SP01";"P02";"G5";"2025-01-03";1487;136;"Shipped"
"S00001153";"SP01";"P02";"G2";"2025-02-07";4624;331;"Shipped"
"S00001161";"SP01";"P02";"G6";"2023-12-21";2408;219;"Delivered"
"S00001171";"SP01";"P20";"G4";"2024-06-28";2594;200;"Delivered"
"S00001172";"SP01";"P20";"G5";"2024-10-16";558;80;"Delivered"
"S00001176";"SP01";"P20";"G1";"2024-11-05";13012;1183;"Delivered"
"S00001181";"SP01";"P20";"G2";"2023-12-22";4538;757;"Delivered"
"S00001194";"SP01";"P20";"G2";"2025-01-10";1935;323;"Shipped"
"S00001204";"SP01";"P20";"G1";"2023-12-14";6356;636;"Delivered"
"S00001205";"SP01";"P20";"G1";"2024-01-29";6856;686;"Delivered"
"S00001211";"SP01";"P20";"G4";"2025-01-07";10535;1054;"Shipped"
"S00001219";"SP01";"P20";"G1";"2024-07-03";3231;249;"Delivered"
"S00001223";"SP01";"P20";"G2";"2024-04-30";5528;615;"Delivered"
"S00001228";"SP01";"P20";"G5";"2023-11-21";6147;513;"Delivered"
"S00001242";"SP01";"P20";"G5";"2024-12-27";3983;569;"Delivered"
"S00001248";"SP01";"P09";"G1";"2024-11-19";1791;120;"Delivered"
"S00001257";"SP01";"P09";"G5";"2024-05-07";4727;263;"Delivered"
"S00001261";"SP01";"P09";"G1";"2024-10-24";3089;221;"Delivered"
"S00001262";"SP01";"P09";"G1";"2023-01-25";4635;290;"Delivered"
"S00001263";"SP01";"P09";"G1";"2023-06-27";8125;478;"Delivered"
"S00001266";"SP01";"P09";"G3";"2024-06-25";9299;465;"Delivered"
"S00001269";"SP01";"P09";"G4";"2023-04-19";3656;282;"Delivered"
"S00001275";"SP01";"P09";"G1";"2023-01-30";5355;268;"Delivered"
"S00001279";"SP01";"P09";"G2";"2023-11-08";8105;451;"Delivered"
"S00001291";"SP01";"P09";"G1";"2024-05-30";3490;175;"Delivered"
"S00001307";"SP01";"P18";"G2";"2023-10-13";8215;343;"Delivered"
"S00001309";"SP01";"P18";"G4";"2025-02-12";8037;383;"Shipped"
"S00001311";"SP01";"P18";"G4";"2024-07-05";6019;251;"Delivered"
"S00001319";"SP01";"P18";"G1";"2024-01-31";7486;300;"Delivered"
"S00001326";"SP01";"P18";"G5";"2024-11-18";10877;518;"Delivered"
"S00001331";"SP01";"P18";"G1";"2024-06-04";5585;266;"Delivered"
"S00001339";"SP01";"P18";"G4";"2023-01-11";6368;304;"Delivered"
"S00001340";"SP01";"P18";"G5";"2024-08-21";9405;392;"Delivered"
"S00001357";"SP01";"P14";"G6";"2024-01-30";3267;126;"Delivered"
"S00001360";"SP01";"P14";"G1";"2024-01-11";4489;180;"Delivered"
"S00001363";"SP01";"P14";"G2";"2023-02-01";2527;98;"Delivered"
"S00001364";"SP01";"P14";"G3";"2023-03-15";7524;342;"Delivered"
"S00001366";"SP01";"P14";"G4";"2023-12-29";5625;209;"Delivered"
"S00001367";"SP01";"P14";"G4";"2024-03-25";4428;202;"Delivered"
"S00001376";"SP01";"P14";"G2";"2025-02-20";3602;157;"Shipped"
"S00001391";"SP01";"P14";"G2";"2024-03-01";10044;402;"Delivered"
"S00001393";"SP01";"P14";"G4";"2024-03-20";2655;111;"Delivered"
"S00001402";"SP01";"P01";"G1";"2023-09-04";2185;85;"Delivered"
"S00001404";"SP01";"P01";"G2";"2024-01-16";2081;95;"Delivered"
"S00001411";"SP01";"P01";"G5";"2023-09-18";4446;194;"Delivered"
"S00001412";"SP01";"P01";"G5";"2025-03-12";1258;67;"Placed"
"S00001414";"SP01";"P01";"G1";"2024-11-18";6829;297;"Delivered"
"S00001422";"SP01";"P01";"G4";"2024-09-02";6878;265;"Delivered"
"S00001424";"SP01";"P01";"G5";"2023-02-16";263;12;"Delivered"
"S00001430";"SP01";"P01";"G1";"2023-06-22";2621;101;"Delivered"
"S00001435";"SP01";"P01";"G4";"2023-07-20";11804;473;"Delivered"
"S00001446";"SP01";"P01";"G2";"2025-02-03";10541;528;"Shipped"
"S00001450";"SP01";"P01";"G4";"2023-01-03";9684;404;"Delivered"
"S00001475";"SP01";"P06";"G2";"2025-02-24";7947;795;"Shipped"
"S00001478";"SP01";"P06";"G4";"2024-06-03";6512;543;"Delivered"
"S00001480";"SP01";"P06";"G5";"2023-07-11";12737;980;"Delivered"
"S00001482";"SP01";"P06";"G5";"2024-07-17";1307;119;"Delivered"
"S00001483";"SP01";"P06";"G6";"2023-12-12";774;111;"Delivered"
"S00001488";"SP01";"P06";"G2";"2023-12-19";10280;1029;"Delivered"
"S00001500";"SP01";"P06";"G1";"2024-07-15";2939;327;"Delivered"
"S00001508";"SP01";"P06";"G5";"2025-01-28";2925;418;"Shipped"
"S00001549";"SP01";"P19";"G4";"2023-07-05";4883;222;"Delivered"
"S00001550";"SP01";"P19";"G5";"2024-12-02";5;1;"Delivered"
"S00001553";"SP01";"P19";"G6";"2023-10-02";11000;501;"Delivered"
"S00001557";"SP01";"P19";"G1";"2023-04-12";2691;129;"Delivered"
"S00001559";"SP01";"P19";"G2";"2023-10-31";3719;149;"Delivered"
"S00001563";"SP01";"P19";"G4";"2023-05-03";4462;213;"Delivered"
"S00001567";"SP01";"P19";"G6";"2023-12-06";59;3;"Cancelled"
"S00001569";"SP01";"P19";"G1";"2024-07-19";1982;77;"Cancelled"
"S00001571";"SP01";"P19";"G1";"2025-02-05";5380;257;"Shipped"
"S00001590";"SP01";"P15";"G4";"2024-10-24";619;42;"Delivered"
"S00001591";"SP01";"P15";"G4";"2023-01-18";7344;525;"Cancelled"
"S00001594";"SP01";"P15";"G5";"2023-03-03";6361;425;"Delivered"
"S00001602";"SP01";"P15";"G3";"2024-02-28";2761;185;"Delivered"
"S00001624";"SP01";"P15";"G1";"2024-09-18";5544;462;"Delivered"
"S00001626";"SP01";"P15";"G1";"2024-12-26";4032;269;"Delivered"
"S00001632";"SP01";"P15";"G4";"2024-01-09";12978;927;"Delivered"
"S00001635";"SP01";"P15";"G5";"2024-10-16";2176;198;"Delivered"
"S00001640";"SP01";"P15";"G1";"2023-02-06";6149;440;"Delivered"
"S00001643";"SP01";"P15";"G2";"2024-10-30";5594;373;"Delivered"
"S00001655";"SP01";"P11";"G1";"2024-06-10";331;37;"Delivered"
"S00001678";"SP01";"P11";"G5";"2023-01-13";605;56;"Delivered"
"S00001691";"SP01";"P11";"G5";"2024-04-23";988;124;"Delivered"
"S00001693";"SP01";"P11";"G6";"2023-08-29";6073;434;"Delivered"
"S00001704";"SP01";"P11";"G5";"2023-10-18";878;98;"Delivered"
"S00001708";"SP01";"P10";"G1";"2024-12-03";4367;230;"Delivered"
"S00001713";"SP01";"P10";"G2";"2024-12-11";4048;270;"Delivered"
"S00001715";"SP01";"P10";"G4";"2024-10-25";6318;452;"Delivered"
"S00001718";"SP01";"P10";"G5";"2023-09-12";8467;499;"Delivered"
"S00001721";"SP01";"P10";"G6";"2023-03-17";4853;286;"Cancelled"
"S00001723";"SP01";"P10";"G1";"2024-02-06";8636;540;"Delivered"
"S00001724";"SP01";"P10";"G1";"2023-06-27";4190;247;"Delivered"
"S00001736";"SP01";"P10";"G1";"2023-10-06";6917;407;"Delivered"
"S00001737";"SP01";"P10";"G1";"2023-02-21";4905;327;"Delivered"
"S00001743";"SP01";"P10";"G4";"2023-10-04";5141;286;"Delivered"
"S00001749";"SP01";"P10";"G6";"2024-12-16";8897;636;"Delivered"
"S00001753";"SP01";"P04";"G1";"2024-12-26";9059;324;"Delivered"
"S00001761";"SP01";"P04";"G5";"2024-07-18";6948;249;"Delivered"
"S00001766";"SP01";"P04";"G1";"2025-01-21";2070;80;"Shipped"
